,no_internet,population,unemp,health_ins,poverty,SNAP,broad_num,broad_avail,broad_cost,all25_bbn
"Tolland County, Connecticut",12.3,150721,3.3,3.1,6.9,6.7,4,96.8,71.99,4.766320879
"Windham County, Connecticut",19.4,116782,4,3.9,10.5,15.2,3,99.1,63.32,3.773543859
"Kent County, Delaware",16.2,180786,4.2,7,13.6,16.2,3,99,115.18,4.760321371
"New Castle County, Delaware",15.7,558753,3.7,5.3,11.4,10,3,96.1,58.32,4.844475076
"Sussex County, Delaware",21.1,234225,3.8,7.1,11.7,12,3,98.4,118.73,6.060483731
"District of Columbia, District of Columbia",19.7,705749,5.5,4,16.8,13.9,3,95.1,67.49,6.055502694
"Alachua County, Florida",15.8,269043,2.9,9.2,21.8,10.3,7,85.8,66.5,6.871191193
"Baker County, Florida",24.6,29210,3.1,12.5,14.6,17.8,3,84,79.99,5.297954879
"Bay County, Florida",17.1,174705,3.9,14.2,14.7,13.7,8,96.6,64,8.854582839
"Bradford County, Florida",33.4,28201,3.1,12.4,20.3,19.5,4,34.3,70,5.997074262
"Brevard County, Florida",14.6,601942,3.2,10.8,12.7,10.7,6,99.9,74.39,7.740937903
"Broward County, Florida",17,1952778,3,14.6,13.5,13.6,7,99,100.98,7.985743101
"Calhoun County, Florida",35.7,14105,4.1,18.3,12.2,19.4,1,70.8,37.99,4
"Charlotte County, Florida",17.1,188910,3.7,11.3,11.1,8.7,7,94.4,65,6.097064239
"Citrus County, Florida",18.8,149657,4.8,10.4,16.7,12.9,6,95,69.99,5.841356899
"Clay County, Florida",11.5,219252,3,10.4,10.6,10.7,6,95.7,66.66,6.918854327
"Collier County, Florida",16.6,384902,3.1,16.5,12.3,8,8,98.5,90.99,7.621060105
"Columbia County, Florida",22.5,71686,3.2,12.4,17.4,19.3,7,82.5,66.5,7.175476977
"DeSoto County, Florida",46.3,38001,3.5,18.4,28.5,20.9,5,69.6,79.99,8
"Duval County, Florida",18.5,957755,3.3,12,15.5,16.2,7,97.7,73.59,7.281234485
"Escambia County, Florida",18,318316,3.2,10.2,13.9,14.5,7,96.7,69.33,8.449208508
"Flagler County, Florida",21.2,115081,3.8,12.7,11.9,9,5,98.8,67.5,7.844023928
"Franklin County, Florida",24.9,12125,3.5,18.3,20.7,15.5,3,97.6,37.99,5
"Gadsden County, Florida",40.9,45660,4.1,14.9,24.6,24.6,8,91.2,62.32,6.860979974
"Gilchrist County, Florida",33.5,18582,3.4,18.1,17.9,18.8,2,23.9,60,3.719853115
"Gulf County, Florida",22.1,13639,4.8,11.4,13.9,10.5,3,95.1,37.99,5
"Hamilton County, Florida",34,14428,4.1,14.3,29.5,32.2,1,57.6,79.99,4.246010046
"Hardee County, Florida",40.1,26937,5,12.2,26.7,24.2,4,68.3,74.99,5.237623056
"Hendry County, Florida",35.7,42022,5.8,26.2,26.8,28.2,4,82.1,79.99,6.427004199
"Hernando County, Florida",17.9,193920,4.2,12.6,14.3,15.1,5,96.8,67.5,5.949137121
"Highlands County, Florida",28,106221,4.5,12.7,19.2,14,5,89,79.99,5.869783888
"Hillsborough County, Florida",14.8,1471968,3.1,13,15.3,14.9,4,99.6,65.24,6.466386962
"Holmes County, Florida",28.7,19617,3.5,18.9,25.6,21.5,3,43.1,70,4
"Indian River County, Florida",19.1,159923,3.8,12.1,12.2,9.9,5,96.3,66.66,7.059726246
"Jackson County, Florida",29.4,46414,3.6,11.3,20.6,17.3,5,54.1,69.99,5.085993204
"Jefferson County, Florida",28.4,14246,3.3,6.4,14.1,15.8,3,36.2,79.99,3.889255864
"Lafayette County, Florida",28.4,8422,3,17.6,20.1,17.7,1,53.4,79.99,5
"Lake County, Florida",15.9,367118,3.2,11.6,12.5,11.9,9,94.4,66.64,6.627769293
"Lee County, Florida",17,770577,3.1,14.3,14,10.2,8,95.4,80.66,6.386392826
"Leon County, Florida",13.6,293582,3.1,8.2,20.4,12.2,5,96,87.33,5.821802988
"Levy County, Florida",36.2,41503,3.7,15.5,20.7,19.2,4,21.4,70,3.9356083
"Liberty County, Florida",37.4,8354,3.6,18.5,13,18.7,1,33,37.99,3.227642276
"Madison County, Florida",40.5,18493,3.8,13.1,28.2,19.9,3,65.4,79.99,4.501058254
"Manatee County, Florida",18.9,403253,3.1,12.7,12.5,10.1,5,99.5,69.98,6.666524017
"Marion County, Florida",21.7,365579,3.8,12.3,16.6,15.7,11,93.4,67.19,7.729005541
"Martin County, Florida",16.1,161000,3.1,11.5,10.5,6.9,6,98.2,79.39,8.118633333
"Miami-Dade County, Florida",24.6,2716940,2.4,18.1,18,25.4,8,97.4,106.99,8.207492054
"Monroe County, Florida",18.6,74228,2.1,17.8,11.8,6.5,5,96.8,66.66,6.960961989
"Nassau County, Florida",14.9,88625,2.9,11,10.2,10.4,8,94.4,75.5,6.865406417
"Okaloosa County, Florida",17.8,210738,2.7,12.2,11.5,9.6,7,94.9,65.99,7.081951658
"Okeechobee County, Florida",39.7,42168,3.5,18.1,22.7,18.7,3,85.6,79.99,6.079400561
"Orange County, Florida",14.3,1393452,2.9,14.5,16.1,15.8,10,99.6,70.32,9.419306174
"Osceola County, Florida",22.9,375751,3.3,15.8,16.3,21.7,9,99,69.49,7.77266339
"Palm Beach County, Florida",16.5,1496770,3.3,13.6,12.8,10.3,6,98.3,100.23,8.180621177
"Pasco County, Florida",19.3,553947,3.5,11.8,13.5,13.9,6,99.1,73.39,6.180010209
"Pinellas County, Florida",19,974996,3,11.5,13,10.9,4,99.9,68.33,6.52240474
"Polk County, Florida",33,724777,3.7,13.2,16.6,15.4,7,96.6,76.74,5.895558654
"Putnam County, Florida",31.2,74521,4.3,16,24.8,21.4,4,82.9,70,5.033000161
"St. Johns County, Florida",13.1,264672,2.6,8.4,8.4,5.8,6,96.1,69.33,7.576299376
"St. Lucie County, Florida",17.5,328297,3.9,14,15,12.9,4,97.7,76.38,8.308865484
"Santa Rosa County, Florida",13.1,184313,3,10,9.8,11.3,7,99.9,59.99,7.967557639
"Sarasota County, Florida",16,433742,3.1,11.4,9.7,6.4,7,97.3,66.66,6.733742283
"Seminole County, Florida",10.3,471826,2.9,10.4,11.4,8.6,7,97.3,71.99,8.676731868
"Sumter County, Florida",15.2,132420,4.6,6.2,8.8,4.8,6,95.2,74.99,6.534682634
"Suwannee County, Florida",24.2,44417,3.4,13.9,17.8,23.6,2,83.4,79.99,4.798807824
"Taylor County, Florida",34.6,21569,3.6,10.9,19.8,21.6,2,65.4,70,3.922547255
"Volusia County, Florida",21.6,553284,3.4,12.5,15.2,13.8,8,98.4,73.28,7.935445939
"Wakulla County, Florida",23.6,33739,2.9,9,11.5,12.7,5,93.6,58.99,6.069663213
"Walton County, Florida",19.5,74071,2.8,13.5,14.7,10.6,10,85.4,65.19,6.749904697
"Washington County, Florida",26.2,25473,3.4,12.8,22.4,19.6,5,38,71.19,4.698668291
"Appling County, Georgia",40.2,18386,3.9,15.6,23.3,19,3,46.9,70,6.832261139
"Atkinson County, Georgia",44.2,8165,3,24.9,30,21.2,4,61,88.46,5.8066756
"Bacon County, Georgia",36.8,11164,3.5,19,27.2,18.4,2,70.7,25,6
"Baker County, Georgia",51.4,3038,4.7,14,21.3,10.8,2,1.7,60,4
"Baldwin County, Georgia",29,44890,4.2,11.6,26.2,15.4,3,94.4,65.23,10
"Banks County, Georgia",34.1,19234,2.7,15.8,13.4,13,3,74.4,114.63,5.50635265
"Barrow County, Georgia",18.2,83240,2.8,14.9,12.1,13.9,7,99.3,67.5,8.892415668
"Bartow County, Georgia",19.9,107738,3.3,14.8,13.2,13.3,7,95.6,62.5,7.417216413
"Ben Hill County, Georgia",43.8,16700,5.5,17.2,31.6,18.5,2,91,79.99,7
"Berrien County, Georgia",39.6,19397,4,21.7,26.3,21.9,2,83.5,52.48,5
"Bibb County, Georgia",28.2,153159,3.9,13.4,25.7,20.3,7,97.1,60.16,8.424229577
"Bleckley County, Georgia",34.5,12873,5,10.4,20.8,18,2,43.6,60,7
"Brantley County, Georgia",37.7,19109,4.1,19.1,24.1,21.2,6,99.8,58.75,4.188881968
"Brooks County, Georgia",32.4,15457,3.4,20.8,27,18,4,80,66.24,6.465277778
"Bryan County, Georgia",14.1,39627,3,11.2,14.1,8,9,97.8,63.7,8.616333587
"Bulloch County, Georgia",26.3,79608,3.7,13.4,28.7,16.7,6,100,62.24,6.956773821
"Burke County, Georgia",32.9,22383,5.1,13.6,24.8,21.9,3,73.3,70,3.942987457
"Butts County, Georgia",33.4,24936,3.4,10.4,23.8,20.1,6,79.6,67.5,6
"Calhoun County, Georgia",42.3,6189,3.6,19.3,29.7,34.8,2,44.8,60,3.40460115
"Camden County, Georgia",16.3,54666,3.6,11.7,12.9,12.2,6,95.3,70.98,6.927036879
"Candler County, Georgia",42.3,10803,3,21,32.8,21.2,4,100,69.97,8
"Carroll County, Georgia",21.2,119992,3.4,12.2,18.8,17.2,6,85.7,62.99,8.11093078
"Catoosa County, Georgia",18.8,67580,3,12,9.8,10,11,99.2,62.56,13.22010506
"Charlton County, Georgia",35.9,13392,3.8,21.1,24.4,19.9,3,68.8,74.99,7.645266417
"Chatham County, Georgia",16,289430,3.3,14.5,15.8,13.5,10,96.7,63.85,8.572336866
"Chattahoochee County, Georgia",21.6,10907,4.6,6.4,16.8,9.7,2,72.4,80.31,4.834104497
"Chattooga County, Georgia",32.5,24789,5,15.4,19.9,18.1,2,94.2,64.98,7.602602137
"Cherokee County, Georgia",7.9,258773,2.7,10.9,8.1,5,9,98.4,69.11,9.146782746
"Clarke County, Georgia",19.8,128331,3.6,14,31.3,14.2,8,99.5,62.99,8.336292178
"Clay County, Georgia",36.4,2834,6.9,23.6,41.1,36.9,2,66.1,59.99,5.443383356
"Clayton County, Georgia",22.5,292256,4.2,19.2,20,22.5,8,99.3,79.35,7.668759182
"Clinch County, Georgia",54.2,6618,3.9,21.2,39.2,20.5,2,55,79.99,4.713280563
"Cobb County, Georgia",10,760141,3,13,10,7.8,8,98.5,92.54,8.613922619
"Coffee County, Georgia",37.5,43273,3.9,19.2,22.3,18.2,3,89.5,83.47,6.935560107
"Colquitt County, Georgia",28.7,45600,3.2,23.6,25.2,23,4,88.6,109.61,6.466409762
"Columbia County, Georgia",18.9,156714,3,8,8.8,5.1,6,89.8,66.66,8.570351983
"Cook County, Georgia",39.1,17270,3.4,18,24,18.9,5,84.7,131.95,7.005975395
"Coweta County, Georgia",16.5,148509,2.9,10.4,11.1,9,7,96.3,67.5,8.713201654
"Crawford County, Georgia",30.7,12404,3.6,13.5,19.7,16.6,5,93.8,68.66,4.628038042
"Crisp County, Georgia",40.4,22372,3.9,16.8,30.8,25.8,3,82.1,99.21,8
"Dade County, Georgia",26,16116,3.3,12.4,15.1,10.2,6,91.1,67.58,7
"Dawson County, Georgia",16.9,26108,2.8,11.2,8.7,10.6,6,87.4,68.65,12
"Decatur County, Georgia",47.4,26404,3.8,19.1,25.2,20.8,4,69.3,61.17,5.989184662
"DeKalb County, Georgia",16.9,759297,3.4,14.8,16.6,14.3,6,99.1,70.33,8.052984336
"Dodge County, Georgia",45,20605,5.4,11.3,23.6,20.2,2,64.7,70,6.217257124
"Dooly County, Georgia",40.3,13390,3.8,16.2,24.6,27.2,5,68.5,112.95,5
"Dougherty County, Georgia",28,87956,4.7,17,29.4,27.2,3,99,70,6.451685039
"Douglas County, Georgia",20.8,146343,3.5,13.2,13.1,13.6,6,98,72.23,8.551254343
"Early County, Georgia",44.8,10190,3.9,15.7,28.8,23,2,39.6,62.48,5
"Effingham County, Georgia",15.8,64296,2.9,9.8,8.6,8.9,5,94.9,62.5,7.070606982
"Elbert County, Georgia",42.4,19194,4,14.6,19.5,20,2,80.6,75.97,5
"Emanuel County, Georgia",34.7,22646,5.3,17.9,27,24.1,3,95.1,89.76,5.901068718
"Evans County, Georgia",33.7,10654,3.4,16.8,27.3,27.7,4,83.5,66.65,8
"Fannin County, Georgia",20.9,26188,3.3,13.4,13.5,10.3,7,90.7,63.78,7.335955907
"Fayette County, Georgia",10.6,114421,3,7.3,5.6,4.6,6,98.6,62.99,7.795548379
"Floyd County, Georgia",22.4,98498,3.8,13.8,19.1,15.6,6,92.9,62.99,8.934090417
"Forsyth County, Georgia",7.3,244252,2.7,8.9,5.9,4,6,99.8,72.99,9.446068825
"Franklin County, Georgia",35.6,23349,3.5,16.4,24.8,24.8,4,62,73.31,7.287488225
"Fulton County, Georgia",16.7,1063937,3.5,11,15.1,12.1,8,97.4,87.29,9.33117047
"Gilmer County, Georgia",25.2,31369,3.5,21.4,16.3,12.2,5,82.9,71.98,7
"Glascock County, Georgia",36.1,2971,3.7,8.3,18.3,14.2,2,0.7,69.99,4
"Glynn County, Georgia",21.7,85292,3.3,14.1,18.3,16.8,5,97.7,62.99,7.483861176
"Gordon County, Georgia",29.9,57963,3.4,16.2,20,15.9,6,90.2,67.99,7.173025012
"Grady County, Georgia",29.2,24633,3.4,18.3,23.5,20.9,3,82.7,62.47,6.351351351
"Greene County, Georgia",31.9,18324,3.9,15.8,22.3,14.8,10,68.8,55.12,9.53199898
"Gwinnett County, Georgia",12.3,936250,3,17,11.4,8.5,8,99.4,66.57,8.589141689
"Habersham County, Georgia",32.8,45328,3.5,17.3,14.5,13.4,3,83.9,79.99,6.25126423
"Hall County, Georgia",17.6,204441,2.8,17.4,14.6,10.5,7,98.1,67.5,8.45244206
"Hancock County, Georgia",54.3,8457,5.5,9.5,24.1,26.2,4,5.2,69.99,8
"Haralson County, Georgia",27,29792,3.3,12.3,15.5,16.6,6,45.3,67.5,7.77595339
"Harris County, Georgia",17.4,35236,3.1,7.8,6.8,7.8,9,89.8,75.24,8.323718855
"Hart County, Georgia",33.7,26205,3.5,11.4,17.4,16.5,5,83.9,79.97,5
"Heard County, Georgia",32.9,11923,3.3,12.6,15.6,23.2,3,58.8,65,5
"Henry County, Georgia",12.8,234561,3.5,11,10.4,10.8,6,99.6,67.5,8.252702685
"Houston County, Georgia",20,157863,3.3,11.8,15.7,13.2,9,98,60.16,11.24124442
"Irwin County, Georgia",42.4,9416,4.7,15.8,26.5,16.9,2,63.1,60,5
"Jackson County, Georgia",21.6,72977,2.7,12,11,12.1,6,87.5,62.99,7.830363295
"Jasper County, Georgia",31.4,14219,3.1,13.7,17.8,20.4,2,63,67.5,7.223564955
"Jeff Davis County, Georgia",45.7,15115,4.6,19.7,20.6,17.1,1,69.2,70,5
"Jefferson County, Georgia",45.3,15362,4.7,14.4,24.8,25.7,2,8.3,58.74,3.481555505
"Jenkins County, Georgia",45.7,8676,5.1,16.7,29.3,26.3,5,81.7,66.65,8
"Jones County, Georgia",22,28735,3.2,11.6,15,15.1,6,85,63.49,5.680538041
"Lamar County, Georgia",30.8,19077,3.9,13.7,20.2,12.5,3,71,67.5,6.352987257
"Lanier County, Georgia",49,10423,3.9,15.7,23.8,18.2,4,84,70,7
"Laurens County, Georgia",42.4,47546,4.6,11.2,26.7,19.6,4,60.9,98.76,4.726544982
"Lee County, Georgia",17.4,29992,3.1,10.9,13.8,10.5,2,93.2,66.59,5.819941917
"Liberty County, Georgia",16.4,61435,3.7,12.5,16.8,15.1,8,95.9,60,7.173929579
"Lincoln County, Georgia",46.8,7921,3.9,12.4,19.5,15.3,1,100,62.97,4
"Long County, Georgia",21.3,19559,3.6,14.8,20,17.9,7,89.5,65,7
"Lowndes County, Georgia",34.7,117406,3.5,15.8,25.2,18.8,8,90.1,83.98,8.864960275
"Lumpkin County, Georgia",21.4,33610,3.1,11.7,17.2,13.4,5,81.3,70,8
"McDuffie County, Georgia",41.4,21312,5.1,13.4,24.9,22.9,2,67,63.33,4.576916025
"McIntosh County, Georgia",27,14378,3.6,15.9,19.9,18,7,83.5,63.33,5.871275176
"Macon County, Georgia",42.1,12947,4.6,20.1,27.2,26.4,3,67.6,59.99,5.408724478
"Madison County, Georgia",28.2,29880,3,13.7,17.4,14,1,82.4,70,7.270973633
"Marion County, Georgia",45.2,8359,4.2,14.2,21,20.1,3,97.6,69.97,7.04083045
"Meriwether County, Georgia",41.2,21167,4.5,14.3,21.5,21.5,4,52,69.99,4.61138576
"Miller County, Georgia",48.1,5718,3.3,14.7,23,19,4,11.4,62.48,7.252129472
"Mitchell County, Georgia",35.4,21863,4.6,17.7,24,25,3,62.9,66.65,5.624838925
"Monroe County, Georgia",25,27578,3.2,11.8,13.9,9.7,10,53.5,67.19,9.286384429
"Montgomery County, Georgia",27.1,9172,5.3,15,20.7,20.7,2,37,114.63,8.316279627
"Morgan County, Georgia",25.7,19276,3.1,11.8,10.5,14.3,4,45.4,60,7.161966866
"Murray County, Georgia",24.4,40096,5,16.9,15.4,16.1,5,98,69.99,6.807782416
"Muscogee County, Georgia",24.7,195769,4.5,12.9,21.1,18.9,7,99.2,89.97,9.580551413
"Newton County, Georgia",17.5,111744,3.9,12.3,17.9,19.2,6,97.3,62.99,8.876785023
"Oconee County, Georgia",13.7,40280,2.5,6.8,5.9,4.5,6,92,67.5,7.842887016
"Oglethorpe County, Georgia",34.7,15259,3.2,12.1,15.1,14.6,5,73.7,55.22,5.326950432
"Paulding County, Georgia",15,168667,2.9,10.9,9.4,9.3,5,99.3,60.82,7.77938995
"Peach County, Georgia",26.7,27546,4.1,13.5,21.5,22.7,7,84.6,68.66,9.520999199
"Pickens County, Georgia",16.6,32591,3,11.2,9.6,11.7,7,91.6,68.98,9.954966747
"Pierce County, Georgia",35.5,19465,3.4,16.5,21.7,18.1,4,73.8,55,5.17116661
"Pike County, Georgia",25.8,18962,3,13.1,13.1,12.7,7,31.2,67.5,5.791009293
"Polk County, Georgia",26.8,42613,3.6,15.3,17.9,19.6,6,93.9,67.5,9.314634198
"Putnam County, Georgia",26.3,22119,4.3,13.8,16,12.9,9,86.7,59.28,12
"Rabun County, Georgia",29.5,17137,3.5,18.4,19.4,14.7,4,89.5,79.99,6.968663842
"Randolph County, Georgia",29.5,6778,4.8,16.2,37,30.2,2,82.7,79.99,5.526720492
"Richmond County, Georgia",27.4,202518,4.5,13.6,23.4,21.1,6,94.9,66.66,8.586354107
"Rockdale County, Georgia",20.5,90896,3.8,13.6,15.2,12.6,6,99.3,62.99,7.674278545
"Schley County, Georgia",30,5257,3.9,16.7,21.3,24.7,2,78,70,7
"Screven County, Georgia",30.5,13966,5.4,14.1,22.3,20.2,2,98.6,79.99,6
"Seminole County, Georgia",35.9,8090,4.4,16.2,24.4,19.5,2,77.7,59.99,5
"Spalding County, Georgia",33.1,66703,4,15.5,21.6,19.6,6,95.9,67.5,7.40360523
"Stephens County, Georgia",29.8,25925,3.9,15.5,16.2,22.3,5,92.7,79.97,9.313583286
"Stewart County, Georgia",43.8,6621,4.2,16.4,37,23.3,2,65.6,70,2.902419984
"Sumter County, Georgia",32.9,29524,4.8,12.4,27.8,23.6,2,77.1,66,3.90119131
"Talbot County, Georgia",46.5,6195,4.5,15.8,19.1,16.9,4,86.1,90.47,5
"Taliaferro County, Georgia",57.2,1537,4.9,13.2,28,24.8,2,91.4,45.95,3
"Tattnall County, Georgia",30.3,25286,3.8,13.5,22.5,20.9,4,71.6,56.99,7.440929656
"Telfair County, Georgia",74.1,15860,9.5,11.4,28.2,20.8,2,77.8,114.63,3.806915307
"Terrell County, Georgia",27.6,8531,5,18.3,31.9,29.6,2,76.3,60,5
"Thomas County, Georgia",22.4,44451,4,15.8,20.8,20.1,5,89.6,61.98,7.534505729
"Tift County, Georgia",35.3,40644,3.4,19.3,24.7,14.5,6,87.3,83.46,7.184487005
"Toombs County, Georgia",32.9,26830,4.9,16.6,23.7,24.6,5,60,96.3,6.982685424
"Towns County, Georgia",27.1,12037,4.8,10.9,15.8,10.4,3,95.9,61.47,6
"Treutlen County, Georgia",41,6901,5.3,19.9,21.2,23.4,2,13.4,141.94,6
"Troup County, Georgia",28.3,69922,3.2,12.7,20.5,17.7,6,91.8,62.99,8.401933722
"Turner County, Georgia",34.7,7985,3.8,15,35.3,26.2,2,75.6,114.63,5.656175588
"Twiggs County, Georgia",44.9,8120,5.4,14.1,26.1,19.2,3,38,93.71,5.159566117
"Union County, Georgia",25.9,24511,3.1,12.5,14.4,9.3,6,93.5,64.72,7.939277108
"Upson County, Georgia",34.3,26320,3.6,13.3,22.3,16.5,4,93,65,5.865759442
"Walker County, Georgia",26.3,69761,3.6,13.2,17.7,13,8,95.7,63.48,7.923351896
"Walton County, Georgia",19.4,94593,3.1,11.2,12.9,11.6,7,90.1,73.99,8.582072414
"Ware County, Georgia",33.6,35734,3.7,15.4,23.7,19.6,4,83,77.69,8.732527862
"Washington County, Georgia",39,20374,4.1,12,26.6,26.1,3,68.8,65,5.379399063
"Wayne County, Georgia",32.1,29927,4,17.8,19.6,19.8,3,80.1,69.99,4.729607856
"Wheeler County, Georgia",66.6,7855,7.5,16.7,26.8,20.2,3,46.7,73.31,3.612442203
"White County, Georgia",27.7,30798,2.6,12.5,13.8,11.3,5,84.4,70,7.4924717
"Whitfield County, Georgia",22.2,104628,4.4,17.5,17.8,11.5,3,100,59.15,7.279707079
"Wilcox County, Georgia",48.6,8635,4.5,16.6,22,15.7,1,62.7,59.99,4.110072903
"Wilkes County, Georgia",55.8,9777,4.5,15.6,23.9,19.5,1,100,62.97,3.717126771
"Worth County, Georgia",28.5,20247,3.9,17.6,20.8,23.5,4,72.6,99.21,4.071817384
"Hawaii County, Hawaii",24,201513,3.4,5.2,16.6,19.4,2,88.6,46.63,3.527872862
"Honolulu County, Hawaii",14.4,974563,2.6,3.6,8.7,9.7,2,99,46.63,3.241941663
"Kauai County, Hawaii",17.2,72293,2.7,4.9,8.5,9.5,2,92.7,46.63,2.909677805
"Maui County, Hawaii",16.7,167417,2.6,5.1,9.7,9.9,3,95.2,46.63,4.38894558
"Ada County, Idaho",18.3,481587,2.5,8.3,11,7.5,6,79.8,63.7,7.488205994
"Adams County, Idaho",29.6,4294,6.8,16.6,11.4,6.8,4,65.4,69.95,3.575634518
"Bannock County, Idaho",16.7,87808,2.8,8.9,17,14.2,6,68.4,63.96,7.666690236
"Bear Lake County, Idaho",17.2,6125,2.9,6.3,16.9,7.1,3,76.4,77.48,2.969815418
"Benewah County, Idaho",31.7,9298,5.2,12.7,16.7,14,5,76.3,79.95,4.272765777
"Bingham County, Idaho",18,46811,2.7,11,12.5,11.9,8,81.3,65.05,5.750005763
"Blaine County, Idaho",14.3,23021,2.6,14.1,14,5.7,8,98.9,64.02,5.402550348
"Boise County, Idaho",23.2,7831,4.3,10.1,13.1,9.3,9,89.6,61.38,3.71843039
"Bonner County, Idaho",24.7,45739,4.2,11.6,14.7,9.8,7,96.6,65.52,8.181312149
"Bonneville County, Idaho",13.5,119062,2.4,8.7,12.1,12.3,8,75.1,61.85,7.718220815
"Camas County, Idaho",35,1106,2.7,12.9,23.3,6.4,4,80.2,78.62,3
"Canyon County, Idaho",21.4,229849,3.2,14.7,15.2,15.6,8,85.6,78.11,6.29654329
"Cassia County, Idaho",17,24030,2.4,15.7,14.3,11.5,7,78.6,59.39,5.524521107
"Clark County, Idaho",37,845,3.7,27.4,19.7,25.9,6,94.2,67.97,3
"Clearwater County, Idaho",27.6,8756,6.8,11.1,13.4,9.3,4,74.6,72.15,2.334893448
"Custer County, Idaho",20.6,4315,4.2,11.8,20.6,6.5,6,69.7,84.95,3.85767098
"Elmore County, Idaho",20.7,27511,3.3,11.8,13.8,12.2,4,83.4,77.72,4.634811264
"Franklin County, Idaho",16.3,13876,2.3,10.4,11.8,4.4,9,85.5,77.09,3.579219153
"Fremont County, Idaho",21.7,13099,2.3,10.7,12.7,8.2,7,71.4,62.1,5.752659997
"Gem County, Idaho",23.3,18112,3.3,17,18.3,13.4,10,96.1,56.97,5.896150235
"Gooding County, Idaho",27.3,15179,2.6,16.6,15.9,9,4,70.1,75.37,4.941164909
"Idaho County, Idaho",30.6,16667,4.5,10.9,14.6,8.9,7,94.5,68.83,5.062650751
"Jefferson County, Idaho",14.9,29871,2.3,9.6,7.7,9.3,4,80.7,79.95,6.267998124
"Jerome County, Idaho",26.7,24412,2.6,19.7,18,12.4,2,86.4,72.48,4.796007098
"Kootenai County, Idaho",17.5,165697,3.6,10.3,12.1,10.5,5,77.9,57.48,6.825736653
"Latah County, Idaho",16.7,40108,2.7,6.9,20.6,8,6,95.6,67,5.163559848
"Lemhi County, Idaho",21.4,8027,4.8,12.5,13.1,6.3,3,90.9,77.71,5.579277865
"Lewis County, Idaho",35.6,3838,5.5,14.5,14.2,11.6,8,98.1,56.3,4.403013183
"Lincoln County, Idaho",31.8,5366,3.6,22.2,13.4,10.5,3,77.8,105.95,4.285714286
"Madison County, Idaho",23.7,39907,1.8,7.2,30.5,12.4,10,80.2,55.59,6.996598191
"Minidoka County, Idaho",18.8,21039,2.5,19.6,19.3,9.7,4,88.1,89.95,4.642672266
"Nez Perce County, Idaho",21,40408,2.8,10.3,14.6,12.7,3,60.4,49.98,5.723326208
"Oneida County, Idaho",15.1,4531,2.3,7.4,13,7.8,7,74.4,71.17,4
"Owyhee County, Idaho",30.4,11823,3.4,23.9,21.1,15.9,4,88.2,94.15,3.591696224
"Payette County, Idaho",25.9,23951,3.6,12.9,13.6,13.2,6,76,55.83,7.584803762
"Power County, Idaho",20.7,7681,3.1,15.3,9.6,14.5,7,84.7,71.95,5.734876456
"Teton County, Idaho",15.6,12142,2.2,9.4,6.1,1.8,4,88.8,67.45,4.962115233
"Twin Falls County, Idaho",18.8,86878,2.8,11.7,14.8,10.3,8,88.9,65.23,6.516315803
"Valley County, Idaho",17.4,11392,3.9,14.7,10,10,5,69.9,79.95,3.594640878
"Washington County, Idaho",30.8,10194,4.2,15.1,15.7,14.7,6,89.2,67,5.688735858
"Adams County, Illinois",23.6,65435,3.4,4.7,12.1,13.6,4,75.6,73.28,4.910843012
"Alexander County, Illinois",51.4,5761,6.2,6.8,30.2,24.7,4,73.9,70.37,4.051102204
"Bond County, Illinois",24.3,16426,3.8,6.1,14.5,10.3,2,37.5,87.45,5.867744543
"Boone County, Illinois",14.9,53544,5.6,6.3,11,13,7,81,85.95,5.916251131
"Brown County, Illinois",27.9,6578,2.4,5.9,10,11.1,11,86.1,56.46,4.763257027
"Bureau County, Illinois",22.7,32628,4.6,4.9,12.6,12.5,7,86.3,64.97,4.380404143
"Carroll County, Illinois",22.1,14305,4.1,6.1,11.1,10.1,9,96.4,69.96,4.119059624
"Cass County, Illinois",25.9,12147,4.1,7.1,13.5,13.3,8,84.4,65.27,4.24332985
"Champaign County, Illinois",18.1,209689,3.8,4.8,20.9,9.6,4,61.2,111.95,9.881267602
"Christian County, Illinois",22.4,32304,4.8,4.9,13,15.2,9,70.6,70.84,5.463378628
"Clark County, Illinois",30.1,15441,4.5,5.5,12.6,13.6,5,91.9,77.48,4.482428941
"Clay County, Illinois",24,13184,4.5,7.9,16,14.9,11,97.9,66.76,5.173959608
"Clinton County, Illinois",24.2,37562,3.1,4.8,9,9.3,7,77.1,60.49,4.892545804
"Coles County, Illinois",22.8,50621,4,6.3,21.5,18.1,2,70.4,70.5,4.974577108
"Cook County, Illinois",20.7,5150233,3.8,9.5,15.1,15.1,4,84.2,64.95,9.338560508
"Crawford County, Illinois",25.2,18667,4.3,6.3,11.6,15.3,5,83.4,75.79,3.520506634
"Cumberland County, Illinois",25.5,10766,3.4,4.7,14,11.7,5,81.3,58,3.435337224
"DeKalb County, Illinois",13.5,104897,4.1,5.9,16.5,13,3,88.8,77.11,7.845841384
"De Witt County, Illinois",22,15638,4.3,4.8,11,11.8,5,86.2,77.45,3.922090172
"Douglas County, Illinois",27,19465,3.6,14.5,11.2,11.5,5,75.1,69.37,4.628279516
"DuPage County, Illinois",10.8,922921,2.9,5.9,6.8,6,6,87.6,73.7,8.506340283
